customer_id,first_name,last_name,email,phone,age,gender,city,state,tenure_months,account_status,plan_type,monthly_revenue,voice_minutes_30d,data_gb_30d,sms_count_30d,last_payment_date,payment_method,overdue_amount,satisfaction_score,nps_score,support_tickets_6m,last_support_date,churn_risk,products_owned,recommended_products
CUST_000011,Collin,Jordan,collin.jordan@yahoo.com,(870)410-6513x33872,43,Female,Stevenland,New Hampshire,33,Active,Premium,88.97,133.2,23.99,43,2025-08-09,Credit Card,179.59,3.91,8,2,2025-08-08,Medium,"Mobile Service, Internet, TV Service, Home Security, Insurance","Unlimited Data Plan, International Package"
CUST_000012,Melissa,Garcia,melissa.garcia@hotmail.com,+1-801-232-6773,75,Female,South Aaron,Missouri,49,Active,Premium,151.21,372.2,8.67,51,2025-06-17,Debit Card,0.0,3.06,8,1,2025-08-20,Medium,"Mobile Service, Device Protection","Device Upgrade, Home Security System"
CUST_000013,Kristen,Gibson,kristen.gibson@yahoo.com,001-287-223-4309x805,54,Male,Shawhaven,Hawaii,62,Active,Standard,69.98,771.4,27.07,51,2025-05-28,Credit Card,0.0,4.53,-6,0,,Low,"Mobile Service, Internet","Unlimited Data Plan, Device Upgrade"
CUST_000014,Susan,Miller,susan.miller@gmail.com,291-336-1939,47,Female,Sandovalshire,North Dakota,116,Active,Basic,51.99,177.2,23.2,45,2025-06-22,Bank Transfer,0.0,4.06,-9,0,,Low,Mobile Service,Unlimited Data Plan
CUST_000015,Sarah,Harris,sarah.harris@hotmail.com,334-562-4751x07991,49,Female,Davidstad,California,24,Active,Standard,70.94,360.2,38.41,43,2025-08-16,Credit Card,0.0,4.77,-9,1,2025-04-10,Low,"Mobile Service, Device Protection, Cloud Storage",Unlimited Data Plan
CUST_000016,Mike,Moore,mike.moore@hotmail.com,001-449-680-8412x411,75,Female,Cassandramouth,Indiana,109,Suspended,Basic,49.49,815.3,51.86,44,2025-07-28,Bank Transfer,0.0,4.63,6,2,2025-06-25,Low,"Mobile Service, Device Protection","Unlimited Data Plan, International Package, Home Internet"
CUST_000017,Melissa,Wagner,melissa.wagner@yahoo.com,4169400524,30,Female,Hoffmanville,California,49,Active,Enterprise,208.03,69.7,0.66,52,2025-08-16,Credit Card,0.0,2.98,3,2,2025-07-06,Medium,"Mobile Service, Home Security, Business Solutions",
CUST_000018,Rebecca,Gardner,rebecca.gardner@yahoo.com,001-782-562-0450,60,Female,Lake Curtis,Wyoming,111,Active,Premium,124.9,169.4,24.51,47,2025-07-16,Bank Transfer,0.0,3.18,-1,1,2025-08-12,Low,"Mobile Service, Internet, TV Service, Cloud Storage",Unlimited Data Plan
CUST_000019,Nancy,Dickson,nancy.dickson@hotmail.com,(532)626-0256,20,Male,Port Jacqueline,Missouri,114,Active,Basic,57.71,61.5,12.1,69,2025-08-15,Cash,180.41,3.6,9,0,,Medium,"Mobile Service, International Roaming",
CUST_000020,Benjamin,Ruiz,benjamin.ruiz@gmail.com,754.833.0365x414,64,Female,Sheilaville,Kentucky,14,Active,Enterprise,206.28,115.9,18.41,53,2025-06-09,Credit Card,0.0,3.34,-2,2,2025-06-14,Medium,"Mobile Service, Internet, TV Service, Business Solutions, Insurance","Unlimited Data Plan, Home Security System"
CUST_000021,Sydney,Baker,sydney.baker@gmail.com,+1-265-856-9816x934,46,Male,New Saraside,Utah,35,Active,Premium,134.0,236.0,17.85,41,2025-07-31,Credit Card,0.0,3.39,-10,0,,Low,"Mobile Service, Internet, TV Service","Unlimited Data Plan, International Package"
CUST_000022,Shelby,Mclaughlin,shelby.mclaughlin@gmail.com,(861)659-5148x465,72,Female,East Robert,Missouri,81,Active,Premium,138.48,69.1,14.04,45,2025-07-27,Bank Transfer,0.0,3.89,7,4,2025-07-17,Medium,"Mobile Service, TV Service, Home Security",
CUST_000023,Raven,Gilbert,raven.gilbert@yahoo.com,(580)944-3699x5777,65,Female,Lake Christopher,North Carolina,23,Active,Standard,85.29,83.7,4.24,50,2025-07-26,Credit Card,0.0,2.0,10,1,2025-06-24,Medium,"Mobile Service, Internet, Insurance",TV Bundle
CUST_000024,Christine,Davis,christine.davis@gmail.com,+1-543-832-0037x91769,60,Male,Rossberg,Tennessee,115,Active,Standard,97.5,130.8,51.52,44,2025-07-28,Credit Card,0.0,3.97,3,1,2025-02-23,Low,"Mobile Service, Internet, International Roaming","Unlimited Data Plan, Device Upgrade"
CUST_000025,Patricia,Dalton,patricia.dalton@gmail.com,001-763-928-7083x17278,62,Male,Rivasside,New Hampshire,26,Active,Standard,65.69,158.3,8.98,47,2025-08-18,Debit Card,65.44,3.54,2,2,2025-03-24,Medium,"Mobile Service, Internet","Device Upgrade, TV Bundle"
CUST_000026,Julia,Wells,julia.wells@yahoo.com,001-334-487-3471x43455,42,Female,East Patrick,Georgia,28,Active,Standard,58.78,248.5,47.1,52,2025-07-30,Credit Card,71.08,4.79,2,2,2025-04-04,Medium,"Mobile Service, Cloud Storage",Unlimited Data Plan
CUST_000027,Caleb,Russell,caleb.russell@hotmail.com,760.636.6909x670,38,Male,Castanedachester,Ohio,119,Active,Premium,119.82,443.6,29.63,49,2025-08-03,Credit Card,0.0,2.09,-10,1,2025-07-14,Low,"Mobile Service, Internet, Home Security, Insurance","Unlimited Data Plan, International Package, TV Bundle"
CUST_000028,Amy,Morrison,amy.morrison@gmail.com,234.867.0656x2729,54,Female,North Dawnberg,New Jersey,100,Active,Standard,42.92,392.0,10.65,49,2025-06-09,Bank Transfer,173.13,3.63,-3,4,2025-03-03,High,"Mobile Service, Internet",Device Upgrade
CUST_000029,Jorge,Murphy,jorge.murphy@yahoo.com,256-246-4170x80531,36,Female,East Mary,South Carolina,26,Suspended,Standard,100.64,180.5,31.98,52,2025-06-06,Credit Card,0.0,4.25,-8,1,2025-04-09,Low,"Mobile Service, Internet","Unlimited Data Plan, Device Upgrade"
CUST_000030,David,Caldwell,david.caldwell@hotmail.com,674.352.9912,69,Female,West Barbarafurt,Montana,29,Active,Premium,140.2,332.9,20.66,39,2025-07-31,Credit Card,0.0,2.17,-7,4,2025-04-01,Medium,"Mobile Service, Home Security","Unlimited Data Plan, Home Internet"
CUST_000031,Charles,Vaughn,charles.vaughn@hotmail.com,814.791.9058,60,Female,New Deborahtown,Nebraska,20,Active,Premium,149.92,239.4,23.78,63,2025-08-10,Debit Card,0.0,4.35,8,4,2025-05-28,Medium,"Mobile Service, International Roaming","Unlimited Data Plan, Home Security System"
CUST_000032,Daniel,Yu,daniel.yu@hotmail.com,626.728.4987x769,38,Male,Port Sarah,Louisiana,36,Active,Premium,141.88,678.6,38.61,46,2025-08-16,Debit Card,0.0,1.83,0,0,,Medium,"Mobile Service, Internet, TV Service","Unlimited Data Plan, Device Upgrade"
CUST_000033,Shannon,Christensen,shannon.christensen@hotmail.com,+1-665-607-5273x545,76,Male,New Stacyland,Kansas,24,Active,Basic,36.82,143.4,20.85,59,2025-07-31,Credit Card,0.0,4.69,6,0,,Low,"Mobile Service, International Roaming","Unlimited Data Plan, Device Upgrade"
CUST_000034,Richard,Peters,richard.peters@gmail.com,001-777-970-1436x349,47,Female,Ronaldside,Michigan,19,Active,Premium,66.81,78.5,17.16,65,2025-06-26,Credit Card,0.0,2.29,-8,1,2025-07-08,Medium,"Mobile Service, Internet, TV Service, International Roaming, Cloud Storage",Unlimited Data Plan
CUST_000035,Shawn,Parker,shawn.parker@gmail.com,635-618-2337,78,Female,Port Jamesbury,Mississippi,111,Active,Premium,128.82,340.5,5.98,53,2025-06-09,Bank Transfer,177.76,2.21,0,1,2025-04-21,High,"Mobile Service, Home Security, Insurance",Home Internet
CUST_000036,Alexis,Ferguson,alexis.ferguson@yahoo.com,6089427109,40,Male,Alexanderburgh,Arkansas,20,Active,Standard,43.77,231.7,36.71,48,2025-06-16,Credit Card,0.0,4.05,-7,0,,Medium,"Mobile Service, Internet, Insurance","Unlimited Data Plan, Device Upgrade"
CUST_000037,Shelley,Woods,shelley.woods@gmail.com,(871)590-2294x1318,46,Male,Hayesmouth,Maryland,87,Active,Premium,122.54,249.4,54.81,41,2025-08-14,Credit Card,0.0,3.56,6,1,2025-06-16,Low,"Mobile Service, Device Protection",Unlimited Data Plan
CUST_000038,Veronica,Torres,veronica.torres@hotmail.com,4913334123,75,Male,North Ricky,Vermont,2,Active,Premium,104.89,64.6,44.09,51,2025-07-19,Debit Card,0.0,2.15,2,0,,Medium,"Mobile Service, Internet, Home Security",Unlimited Data Plan
CUST_000039,Terry,Johnson,terry.johnson@yahoo.com,001-447-613-4936x183,26,Female,North Brian,Maryland,117,Active,Standard,99.82,1013.7,17.56,54,2025-07-19,Credit Card,0.0,1.76,5,1,2025-07-17,Medium,"Mobile Service, Internet, Insurance, Device Protection","Unlimited Data Plan, Device Upgrade"
CUST_000040,Madison,Morse,madison.morse@yahoo.com,374-264-8877,42,Female,Navarroview,Alaska,59,Inactive,Premium,122.68,210.9,20.82,58,2025-05-31,Bank Transfer,127.33,4.58,1,3,2025-04-07,High,"Mobile Service, Internet, Device Protection, Cloud Storage","Unlimited Data Plan, Device Upgrade, TV Bundle"
CUST_000041,Suzanne,Huff,suzanne.huff@hotmail.com,001-604-490-2787,30,Female,Waltersfort,Colorado,16,Active,Premium,72.57,83.5,21.02,45,2025-07-07,Credit Card,0.0,3.4,-6,0,,Low,"Mobile Service, TV Service","Unlimited Data Plan, Device Upgrade"
CUST_000042,Michael,Cook,michael.cook@hotmail.com,925-367-4680,18,Female,Johnnyville,Wyoming,79,Active,Standard,85.24,1017.0,13.78,53,2025-07-01,Debit Card,0.0,3.76,-5,2,2025-08-08,Medium,"Mobile Service, Cloud Storage",Home Internet
CUST_000043,Xavier,Travis,xavier.travis@hotmail.com,+1-976-203-8597,26,Female,West Andrea,Maine,113,Active,Standard,90.73,136.8,13.4,52,2025-07-04,Bank Transfer,0.0,2.84,4,0,,Medium,Mobile Service,"Device Upgrade, Home Internet"
CUST_000044,Nicole,Washington,nicole.washington@gmail.com,+1-393-424-8086x1317,76,Female,Cantuport,North Carolina,90,Active,Enterprise,225.88,371.0,60.02,50,2025-07-30,Credit Card,0.0,4.14,-7,2,2025-04-16,Low,"Mobile Service, Internet, Cloud Storage",Unlimited Data Plan
CUST_000045,Robert,Olson,robert.olson@yahoo.com,378.626.3982,60,Female,Morganhaven,Louisiana,115,Suspended,Basic,39.58,127.1,14.27,51,2025-08-10,Credit Card,167.36,3.91,-9,1,2025-02-22,Medium,Mobile Service,Home Internet
CUST_000046,Justin,Evans,justin.evans@hotmail.com,001-872-978-7558,47,Female,Mollybury,Oregon,22,Suspended,Standard,68.93,37.8,36.59,41,2025-06-29,Credit Card,78.25,4.24,3,2,2025-04-08,High,"Mobile Service, Internet","Unlimited Data Plan, TV Bundle"
CUST_000047,Melissa,Jenkins,melissa.jenkins@yahoo.com,001-376-962-7028x9517,58,Male,Lake Douglasberg,California,119,Active,Basic,49.64,35.8,14.75,55,2025-07-07,Bank Transfer,0.0,0.75,6,0,,Medium,"Mobile Service, Insurance, Device Protection",Device Upgrade
CUST_000048,Kimberly,Baker,kimberly.baker@hotmail.com,001-561-658-6578x091,25,Female,Lake Christopher,Connecticut,46,Active,Basic,38.5,63.0,30.27,42,2025-08-04,Credit Card,0.0,3.7,7,2,2025-06-25,Low,"Mobile Service, Device Protection","Unlimited Data Plan, Home Internet"
CUST_000049,Jane,Garcia,jane.garcia@gmail.com,001-840-405-0455x623,62,Female,East Christian,Missouri,102,Suspended,Premium,123.26,247.3,16.71,37,2025-07-22,Bank Transfer,168.41,3.74,7,1,2025-07-04,Medium,"Mobile Service, Home Security, Device Protection","Unlimited Data Plan, International Package, Device Upgrade"
CUST_000050,John,Durham,john.durham@gmail.com,474.374.0748,61,Male,Landryshire,Maryland,75,Active,Premium,89.33,583.8,29.51,53,2025-07-24,Debit Card,0.0,3.08,7,0,,Low,"Mobile Service, Internet",Unlimited Data Plan
CUST_000051,Suzanne,Vaughn,suzanne.vaughn@yahoo.com,836-671-3695x9440,40,Female,New Michelleton,Rhode Island,25,Suspended,Basic,50.23,755.9,27.56,43,2025-08-03,Credit Card,66.38,4.11,9,3,2025-05-29,Medium,Mobile Service,"Unlimited Data Plan, Device Upgrade"
CUST_000052,Marissa,Leach,marissa.leach@gmail.com,+1-753-439-4210x470,67,Female,West Markchester,Idaho,96,Active,Basic,60.69,114.4,8.02,58,2025-06-11,Bank Transfer,0.0,3.35,-6,2,2025-03-19,Medium,Mobile Service,"International Package, Device Upgrade, Home Internet"
CUST_000053,Kristin,Walter,kristin.walter@yahoo.com,784.324.7451x71236,77,Male,Smithside,Delaware,14,Active,Standard,79.79,441.2,8.85,49,2025-07-06,Credit Card,0.0,1.27,9,2,2025-05-04,High,"Mobile Service, Internet, Device Protection",Device Upgrade
CUST_000054,Emily,Chambers,emily.chambers@hotmail.com,(651)837-0985x9317,71,Male,East Brandonton,Maryland,107,Active,Standard,73.66,195.7,26.69,35,2025-07-09,Bank Transfer,41.98,3.95,3,2,2025-03-16,Medium,"Mobile Service, Internet",Unlimited Data Plan
CUST_000055,Colton,Clay,colton.clay@gmail.com,(275)786-9261x7964,76,Male,South Sean,Kansas,98,Active,Enterprise,208.79,95.2,22.56,64,2025-08-14,Credit Card,0.0,2.41,4,4,2025-05-03,Medium,"Mobile Service, TV Service, Home Security, Business Solutions",Unlimited Data Plan
CUST_000056,Cory,Jennings,cory.jennings@hotmail.com,+1-750-564-3171x3900,34,Female,Port Anne,California,47,Active,Basic,46.98,92.8,50.52,48,2025-08-11,Bank Transfer,0.0,3.49,-5,3,2025-07-20,Low,"Mobile Service, Cloud Storage",Unlimited Data Plan
CUST_000057,Angela,Willis,angela.willis@gmail.com,729-504-2284x21020,62,Female,Alfredview,Arkansas,88,Active,Standard,53.07,460.6,3.74,49,2025-06-04,Debit Card,0.0,3.59,-3,2,2025-07-16,Medium,"Mobile Service, Internet, Device Protection, Cloud Storage",TV Bundle
CUST_000058,Robert,Wilson,robert.wilson@gmail.com,975.289.1783x9084,43,Male,South Melaniechester,Utah,5,Active,Standard,85.88,204.2,26.88,64,2025-06-02,Credit Card,0.0,3.95,-8,1,2025-05-28,High,"Mobile Service, Internet, Insurance, International Roaming",Unlimited Data Plan
CUST_000059,Jennifer,Wallace,jennifer.wallace@gmail.com,992-812-4998x56984,47,Female,Port Jacquelineside,Washington,49,Inactive,Premium,126.59,153.5,11.64,62,2025-08-15,Credit Card,0.0,4.96,10,1,2025-04-04,Low,"Mobile Service, Internet, Device Protection, International Roaming",
CUST_000060,Russell,Beasley,russell.beasley@yahoo.com,376-361-5654x52711,26,Female,Davisstad,Florida,88,Active,Premium,134.94,439.9,14.82,39,2025-07-16,Credit Card,0.0,4.35,6,0,,Low,"Mobile Service, Internet, Insurance, Device Protection, International Roaming, Cloud Storage",TV Bundle
CUST_000061,Brian,Frye,brian.frye@hotmail.com,416-956-0494x51983,54,Female,Port Daniel,Oklahoma,92,Active,Standard,54.72,148.4,56.94,57,2025-06-27,Credit Card,0.0,2.03,-2,1,2025-03-16,Medium,"Mobile Service, Insurance, Cloud Storage","Unlimited Data Plan, Home Internet"
CUST_000062,Kathryn,Andrews,kathryn.andrews@yahoo.com,+1-699-680-9402,58,Female,Michaelburgh,Georgia,13,Active,Basic,38.78,350.7,62.69,53,2025-07-16,Debit Card,0.0,4.16,4,0,,Low,"Mobile Service, Insurance","Unlimited Data Plan, Home Internet"
CUST_000063,Diane,Jones,diane.jones@hotmail.com,+1-301-283-6675x2545,33,Male,East Karen,Arkansas,30,Active,Premium,109.32,264.4,33.23,53,2025-07-27,Bank Transfer,168.69,3.06,7,1,2025-03-09,Medium,"Mobile Service, Internet, Home Security, Cloud Storage","Unlimited Data Plan, TV Bundle"
CUST_000064,Joseph,Stanley,joseph.stanley@yahoo.com,+1-976-643-8156x149,19,Female,East Randallton,Alabama,73,Active,Premium,127.31,28.6,41.54,51,2025-06-11,Debit Card,0.0,2.48,4,1,2025-04-21,Medium,"Mobile Service, Internet, TV Service, Cloud Storage",Unlimited Data Plan
CUST_000065,Sierra,Saunders,sierra.saunders@yahoo.com,751-307-6226x8388,19,Male,Hensleyton,Nevada,78,Inactive,Standard,77.96,144.0,29.03,41,2025-05-24,Credit Card,44.33,3.0,2,3,2025-05-22,High,Mobile Service,Unlimited Data Plan
CUST_000066,Samantha,Atkins,samantha.atkins@hotmail.com,(896)364-1605x29751,49,Male,South Brianna,North Dakota,2,Active,Basic,38.11,185.4,13.37,36,2025-05-30,Cash,0.0,1.3,-4,3,2025-05-09,High,Mobile Service,Device Upgrade
CUST_000067,Monica,Reese,monica.reese@gmail.com,621-581-8835x52312,52,Male,New Eric,Wisconsin,92,Active,Basic,49.18,620.0,16.7,43,2025-07-25,Credit Card,0.0,1.94,6,0,,Medium,Mobile Service,"Unlimited Data Plan, International Package, Home Internet"
CUST_000068,Charles,Bean,charles.bean@hotmail.com,979.697.9955x2717,77,Female,Brittanystad,North Carolina,21,Active,Basic,33.07,16.7,16.03,46,2025-05-30,Credit Card,0.0,2.53,-3,1,2025-04-23,Medium,Mobile Service,"Unlimited Data Plan, Device Upgrade, Home Internet"
CUST_000069,Steven,Johnson,steven.johnson@yahoo.com,511-799-8679x8079,40,Female,Masonton,New Hampshire,83,Active,Enterprise,217.26,12.8,23.85,56,2025-06-02,Credit Card,0.0,3.03,-3,2,2025-07-29,Medium,"Mobile Service, TV Service, Business Solutions","Unlimited Data Plan, Device Upgrade, Home Internet"
CUST_000070,Rachel,Cooper,rachel.cooper@hotmail.com,482-703-7788,67,Male,Samanthafurt,Nebraska,36,Active,Premium,107.13,261.2,25.04,57,2025-08-06,Credit Card,0.0,4.74,9,1,2025-04-28,Low,"Mobile Service, Internet","Unlimited Data Plan, Device Upgrade, TV Bundle"
CUST_000071,Erika,Williams,erika.williams@hotmail.com,+1-451-751-8644x9251,49,Female,Tammyfurt,Florida,113,Active,Basic,48.04,566.4,19.56,53,2025-07-19,Debit Card,0.0,3.5,4,3,2025-07-09,Low,"Mobile Service, Insurance, Device Protection","Unlimited Data Plan, Device Upgrade"
CUST_000072,Sharon,Collins,sharon.collins@yahoo.com,+1-752-981-6850x5423,78,Female,East Zoe,Georgia,3,Active,Standard,80.72,224.1,9.0,39,2025-05-30,Bank Transfer,0.0,3.98,-2,1,2025-04-20,High,"Mobile Service, Cloud Storage","Device Upgrade, Home Internet"
CUST_000073,Megan,Garcia,megan.garcia@hotmail.com,001-980-259-2962x2292,53,Male,Diazbury,New Hampshire,90,Active,Premium,132.68,297.6,41.38,41,2025-07-21,Credit Card,0.0,4.14,6,2,2025-04-18,Low,"Mobile Service, Internet, Home Security, Cloud Storage",Unlimited Data Plan
CUST_000074,Karen,Bowers,karen.bowers@gmail.com,+1-634-873-5977,41,Male,Burchborough,Rhode Island,58,Active,Standard,99.46,447.0,12.33,46,2025-06-05,Debit Card,0.0,4.47,-10,0,,Low,"Mobile Service, Internet, International Roaming, Cloud Storage",
CUST_000075,Monique,Williams,monique.williams@yahoo.com,(881)381-4124x782,69,Male,Port Shannon,Minnesota,92,Active,Enterprise,255.85,94.1,18.51,47,2025-05-25,Debit Card,0.0,2.56,10,0,,Medium,"Mobile Service, Internet, TV Service, Business Solutions, Insurance","Unlimited Data Plan, International Package"
CUST_000076,Robert,Sanders,robert.sanders@yahoo.com,461.453.0515,52,Male,West Samanthafort,Vermont,115,Active,Standard,34.29,320.0,22.67,35,2025-08-11,Credit Card,0.0,3.87,-1,1,2025-03-20,Low,Mobile Service,"Unlimited Data Plan, Home Internet"
CUST_000077,Katherine,Harrison,katherine.harrison@hotmail.com,8103432898,52,Male,Johnville,Arkansas,14,Active,Basic,44.82,247.3,2.75,61,2025-06-15,Debit Card,0.0,4.82,10,1,2025-05-14,Medium,Mobile Service,Device Upgrade
CUST_000078,Danielle,Dean,danielle.dean@gmail.com,679-880-8932,43,Male,New Michaelshire,Nebraska,49,Active,Enterprise,177.96,123.6,37.58,59,2025-06-10,Credit Card,0.0,4.5,10,0,,Low,"Mobile Service, Internet, TV Service, Home Security, Business Solutions",Unlimited Data Plan
CUST_000079,Elizabeth,Miller,elizabeth.miller@yahoo.com,288-888-8067,39,Female,Jontown,Minnesota,66,Active,Premium,114.78,138.9,22.29,50,2025-08-07,Bank Transfer,0.0,3.11,3,1,2025-03-07,Low,"Mobile Service, Internet",Unlimited Data Plan
CUST_000080,Michael,Quinn,michael.quinn@hotmail.com,995-920-5852,75,Female,Port Dennis,Virginia,113,Active,Basic,36.63,1518.2,37.98,43,2025-08-06,Credit Card,0.0,2.73,5,2,2025-05-21,Medium,"Mobile Service, Device Protection, International Roaming","Unlimited Data Plan, Home Internet"
CUST_000081,Benjamin,Harris,benjamin.harris@gmail.com,5546868740,23,Female,Michelleton,Tennessee,7,Active,Standard,113.16,192.7,14.92,40,2025-06-24,Credit Card,0.0,3.69,-5,2,2025-04-16,High,"Mobile Service, Internet","Device Upgrade, TV Bundle"
CUST_000082,David,Richardson,david.richardson@yahoo.com,001-876-452-7758x4161,22,Female,Manuelland,Massachusetts,97,Active,Premium,94.86,207.1,25.16,45,2025-07-26,Bank Transfer,0.0,4.32,8,2,2025-04-20,Low,"Mobile Service, Internet, TV Service, Home Security, Insurance",Unlimited Data Plan
CUST_000083,Kirk,Morrison,kirk.morrison@yahoo.com,(275)370-5964,65,Female,Coxburgh,Alaska,17,Active,Standard,75.57,126.1,15.82,59,2025-06-05,Bank Transfer,0.0,3.48,10,0,,Medium,"Mobile Service, Internet, Device Protection","Unlimited Data Plan, TV Bundle"
CUST_000084,Melinda,Gregory,melinda.gregory@yahoo.com,4219355690,70,Male,Nathanland,Oregon,116,Suspended,Premium,133.35,448.8,31.38,49,2025-06-05,Bank Transfer,0.0,4.57,-5,2,2025-06-04,Medium,"Mobile Service, Internet, Insurance",Unlimited Data Plan
CUST_000085,Michael,Edwards,michael.edwards@yahoo.com,610.627.8681,68,Female,Lewisport,Vermont,19,Active,Basic,44.09,182.4,26.5,44,2025-08-19,Credit Card,0.0,4.75,-7,0,,Low,Mobile Service,Unlimited Data Plan
CUST_000086,Yolanda,Gonzalez,yolanda.gonzalez@gmail.com,672-671-5518,45,Female,Lake Jenna,Vermont,105,Active,Standard,93.58,44.6,26.29,44,2025-07-23,Credit Card,0.0,4.73,9,2,2025-03-27,Low,"Mobile Service, Internet","Unlimited Data Plan, Device Upgrade"
CUST_000087,Laura,Hicks,laura.hicks@gmail.com,923.470.5895,37,Female,North Kylefort,North Dakota,51,Active,Standard,71.31,217.5,47.08,53,2025-07-01,Credit Card,0.0,4.0,-8,1,2025-07-21,Low,Mobile Service,Unlimited Data Plan
CUST_000088,Robert,Andrews,robert.andrews@gmail.com,317-478-5289x22680,66,Female,Fredmouth,Virginia,102,Suspended,Basic,24.32,38.7,15.53,45,2025-06-13,Credit Card,0.0,2.12,0,0,,Medium,"Mobile Service, Insurance",Unlimited Data Plan
CUST_000089,Michael,Everett,michael.everett@yahoo.com,343-484-2498,28,Male,East Donna,Washington,46,Active,Standard,83.69,449.2,38.24,58,2025-08-18,Bank Transfer,0.0,2.08,4,2,2025-06-19,Medium,"Mobile Service, Internet, Cloud Storage",Unlimited Data Plan
CUST_000090,Matthew,Bradshaw,matthew.bradshaw@gmail.com,2109943969,75,Male,Dawnport,New Mexico,41,Suspended,Standard,58.64,253.7,24.15,55,2025-06-15,Bank Transfer,116.11,3.92,-10,0,,High,"Mobile Service, Internet",Unlimited Data Plan
CUST_000091,Linda,Cohen,linda.cohen@yahoo.com,710.727.6773x592,32,Male,Theresaberg,Wisconsin,85,Active,Basic,42.92,144.4,13.07,59,2025-06-27,Credit Card,0.0,1.99,0,1,2025-06-01,High,Mobile Service,
CUST_000092,Anna,Flores,anna.flores@yahoo.com,847-532-1046,74,Male,Port Mark,Oregon,33,Active,Standard,81.73,343.0,42.67,51,2025-08-01,Debit Card,0.0,4.27,3,0,,Low,"Mobile Service, Internet","Unlimited Data Plan, TV Bundle"
CUST_000093,Larry,Hines,larry.hines@yahoo.com,277.247.0168x73395,44,Male,Troyfort,Maine,50,Active,Basic,45.98,520.0,9.03,38,2025-07-14,Credit Card,194.73,4.95,8,2,2025-02-23,Medium,Mobile Service,Home Internet
CUST_000094,Melanie,Jordan,melanie.jordan@yahoo.com,001-356-850-6098x3584,75,Male,Duranview,South Carolina,46,Active,Basic,46.71,161.9,29.6,46,2025-07-28,Bank Transfer,0.0,2.47,8,0,,Low,Mobile Service,"Unlimited Data Plan, International Package"
